nohup: ignoring input
>>> Building unified WSL target in build/ ...
cmake -S . -B build -G "Ninja" -DCMAKE_BUILD_TYPE=Release -DDCKP_ENABLE_SANITIZERS=OFF -DDCKP_ENABLE_HARDENING=ON 
-- Configuring done (0.8s)
-- Generating done (0.2s)
-- Build files have been written to: /mnt/c/Users/thall/Documents/dckp-sbpo/build
cmake --build build --parallel
ninja: no work to do.
[inst 16/100 | run 2/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 16/100 | run 3/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 16/100 | run 4/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 16/100 | run 5/5] 3I1 -> profit=1533 (1ms, valid=true)
[inst 17/100 | run 1/5] 3I2 -> profit=1577 (1ms, valid=true)
[inst 17/100 | run 2/5] 3I2 -> profit=1577 (1ms, valid=true)
[inst 17/100 | run 3/5] 3I2 -> profit=1577 (1ms, valid=true)
[inst 17/100 | run 4/5] 3I2 -> profit=1577 (1ms, valid=true)
[inst 17/100 | run 5/5] 3I2 -> profit=1577 (1ms, valid=true)
[inst 18/100 | run 1/5] 3I3 -> profit=1611 (1ms, valid=true)
[inst 18/100 | run 2/5] 3I3 -> profit=1611 (1ms, valid=true)
[inst 18/100 | run 3/5] 3I3 -> profit=1611 (1ms, valid=true)
[inst 18/100 | run 4/5] 3I3 -> profit=1611 (1ms, valid=true)
[inst 18/100 | run 5/5] 3I3 -> profit=1611 (1ms, valid=true)
[inst 19/100 | run 1/5] 3I4 -> profit=1577 (1ms, valid=true)
[inst 19/100 | run 2/5] 3I4 -> profit=1577 (1ms, valid=true)
[inst 19/100 | run 3/5] 3I4 -> profit=1577 (1ms, valid=true)
[inst 19/100 | run 4/5] 3I4 -> profit=1577 (1ms, valid=true)
[inst 19/100 | run 5/5] 3I4 -> profit=1577 (1ms, valid=true)
[inst 20/100 | run 1/5] 3I5 -> profit=1449 (1ms, valid=true)
[inst 20/100 | run 2/5] 3I5 -> profit=1449 (2ms, valid=true)
[inst 20/100 | run 3/5] 3I5 -> profit=1449 (1ms, valid=true)
[inst 20/100 | run 4/5] 3I5 -> profit=1449 (1ms, valid=true)
[inst 20/100 | run 5/5] 3I5 -> profit=1449 (1ms, valid=true)
[inst 21/100 | run 1/5] 4I1 -> profit=981 (0ms, valid=true)
[inst 21/100 | run 2/5] 4I1 -> profit=981 (0ms, valid=true)
[inst 21/100 | run 3/5] 4I1 -> profit=981 (0ms, valid=true)
[inst 21/100 | run 4/5] 4I1 -> profit=981 (0ms, valid=true)
[inst 21/100 | run 5/5] 4I1 -> profit=981 (0ms, valid=true)
[inst 22/100 | run 1/5] 4I2 -> profit=1118 (0ms, valid=true)
[inst 22/100 | run 2/5] 4I2 -> profit=1118 (0ms, valid=true)
[inst 22/100 | run 3/5] 4I2 -> profit=1118 (0ms, valid=true)
[inst 22/100 | run 4/5] 4I2 -> profit=1118 (0ms, valid=true)
[inst 22/100 | run 5/5] 4I2 -> profit=1118 (0ms, valid=true)
[inst 23/100 | run 1/5] 4I3 -> profit=1129 (0ms, valid=true)
[inst 23/100 | run 2/5] 4I3 -> profit=1129 (0ms, valid=true)
[inst 23/100 | run 3/5] 4I3 -> profit=1129 (0ms, valid=true)
[inst 23/100 | run 4/5] 4I3 -> profit=1129 (0ms, valid=true)
[inst 23/100 | run 5/5] 4I3 -> profit=1129 (1ms, valid=true)
[inst 24/100 | run 1/5] 4I4 -> profit=1209 (0ms, valid=true)
[inst 24/100 | run 2/5] 4I4 -> profit=1209 (0ms, valid=true)
[inst 24/100 | run 3/5] 4I4 -> profit=1209 (0ms, valid=true)
[inst 24/100 | run 4/5] 4I4 -> profit=1209 (0ms, valid=true)
[inst 24/100 | run 5/5] 4I4 -> profit=1209 (0ms, valid=true)
[inst 25/100 | run 1/5] 4I5 -> profit=957 (1ms, valid=true)
[inst 25/100 | run 2/5] 4I5 -> profit=957 (1ms, valid=true)
[inst 25/100 | run 3/5] 4I5 -> profit=957 (1ms, valid=true)
[inst 25/100 | run 4/5] 4I5 -> profit=957 (1ms, valid=true)
[inst 25/100 | run 5/5] 4I5 -> profit=957 (1ms, valid=true)
[inst 26/100 | run 1/5] 5I1 -> profit=2559 (919ms, valid=true)
[inst 26/100 | run 2/5] 5I1 -> profit=2559 (951ms, valid=true)
[inst 26/100 | run 3/5] 5I1 -> profit=2559 (876ms, valid=true)
[inst 26/100 | run 4/5] 5I1 -> profit=2559 (922ms, valid=true)
[inst 26/100 | run 5/5] 5I1 -> profit=2559 (874ms, valid=true)
[inst 27/100 | run 1/5] 5I2 -> profit=2540 (819ms, valid=true)
[inst 27/100 | run 2/5] 5I2 -> profit=2540 (773ms, valid=true)
[inst 27/100 | run 3/5] 5I2 -> profit=2540 (816ms, valid=true)
[inst 27/100 | run 4/5] 5I2 -> profit=2540 (857ms, valid=true)
[inst 27/100 | run 5/5] 5I2 -> profit=2540 (775ms, valid=true)
[inst 28/100 | run 1/5] 5I3 -> profit=2580 (980ms, valid=true)
[inst 28/100 | run 2/5] 5I3 -> profit=2580 (953ms, valid=true)
[inst 28/100 | run 3/5] 5I3 -> profit=2580 (942ms, valid=true)
[inst 28/100 | run 4/5] 5I3 -> profit=2580 (978ms, valid=true)
[inst 28/100 | run 5/5] 5I3 -> profit=2580 (945ms, valid=true)
[inst 29/100 | run 1/5] 5I4 -> profit=2560 (1051ms, valid=true)
[inst 29/100 | run 2/5] 5I4 -> profit=2560 (897ms, valid=true)
[inst 29/100 | run 3/5] 5I4 -> profit=2560 (937ms, valid=true)
[inst 29/100 | run 4/5] 5I4 -> profit=2560 (982ms, valid=true)
[inst 29/100 | run 5/5] 5I4 -> profit=2560 (897ms, valid=true)
[inst 30/100 | run 1/5] 5I5 -> profit=2600 (1025ms, valid=true)
[inst 30/100 | run 2/5] 5I5 -> profit=2600 (1023ms, valid=true)
[inst 30/100 | run 3/5] 5I5 -> profit=2600 (1031ms, valid=true)
[inst 30/100 | run 4/5] 5I5 -> profit=2600 (1119ms, valid=true)
[inst 30/100 | run 5/5] 5I5 -> profit=2600 (1031ms, valid=true)
[inst 31/100 | run 1/5] 6I1 -> profit=2700 (632ms, valid=true)
[inst 31/100 | run 2/5] 6I1 -> profit=2700 (623ms, valid=true)
[inst 31/100 | run 3/5] 6I1 -> profit=2700 (626ms, valid=true)
[inst 31/100 | run 4/5] 6I1 -> profit=2700 (629ms, valid=true)
[inst 31/100 | run 5/5] 6I1 -> profit=2700 (627ms, valid=true)
[inst 32/100 | run 1/5] 6I2 -> profit=2710 (637ms, valid=true)
[inst 32/100 | run 2/5] 6I2 -> profit=2710 (635ms, valid=true)
[inst 32/100 | run 3/5] 6I2 -> profit=2710 (764ms, valid=true)
[inst 32/100 | run 4/5] 6I2 -> profit=2710 (738ms, valid=true)
[inst 32/100 | run 5/5] 6I2 -> profit=2710 (634ms, valid=true)
[inst 33/100 | run 1/5] 6I3 -> profit=2648 (452ms, valid=true)
[inst 33/100 | run 2/5] 6I3 -> profit=2648 (454ms, valid=true)
[inst 33/100 | run 3/5] 6I3 -> profit=2648 (451ms, valid=true)
[inst 33/100 | run 4/5] 6I3 -> profit=2648 (541ms, valid=true)
[inst 33/100 | run 5/5] 6I3 -> profit=2648 (452ms, valid=true)
[inst 34/100 | run 1/5] 6I4 -> profit=2689 (602ms, valid=true)
[inst 34/100 | run 2/5] 6I4 -> profit=2689 (603ms, valid=true)
[inst 34/100 | run 3/5] 6I4 -> profit=2689 (601ms, valid=true)
[inst 34/100 | run 4/5] 6I4 -> profit=2689 (605ms, valid=true)
[inst 34/100 | run 5/5] 6I4 -> profit=2689 (601ms, valid=true)
[inst 35/100 | run 1/5] 6I5 -> profit=2668 (554ms, valid=true)
[inst 35/100 | run 2/5] 6I5 -> profit=2668 (537ms, valid=true)
[inst 35/100 | run 3/5] 6I5 -> profit=2668 (562ms, valid=true)
[inst 35/100 | run 4/5] 6I5 -> profit=2668 (536ms, valid=true)
[inst 35/100 | run 5/5] 6I5 -> profit=2668 (566ms, valid=true)
[inst 36/100 | run 1/5] 7I1 -> profit=2600 (344ms, valid=true)
[inst 36/100 | run 2/5] 7I1 -> profit=2600 (351ms, valid=true)
[inst 36/100 | run 3/5] 7I1 -> profit=2600 (347ms, valid=true)
[inst 36/100 | run 4/5] 7I1 -> profit=2600 (346ms, valid=true)
[inst 36/100 | run 5/5] 7I1 -> profit=2600 (349ms, valid=true)
[inst 37/100 | run 1/5] 7I2 -> profit=2590 (411ms, valid=true)
[inst 37/100 | run 2/5] 7I2 -> profit=2590 (325ms, valid=true)
[inst 37/100 | run 3/5] 7I2 -> profit=2590 (326ms, valid=true)
[inst 37/100 | run 4/5] 7I2 -> profit=2590 (325ms, valid=true)
[inst 37/100 | run 5/5] 7I2 -> profit=2590 (324ms, valid=true)
[inst 38/100 | run 1/5] 7I3 -> profit=2610 (473ms, valid=true)
[inst 38/100 | run 2/5] 7I3 -> profit=2610 (380ms, valid=true)
[inst 38/100 | run 3/5] 7I3 -> profit=2610 (401ms, valid=true)
[inst 38/100 | run 4/5] 7I3 -> profit=2610 (466ms, valid=true)
[inst 38/100 | run 5/5] 7I3 -> profit=2610 (395ms, valid=true)
[inst 39/100 | run 1/5] 7I4 -> profit=2599 (315ms, valid=true)
[inst 39/100 | run 2/5] 7I4 -> profit=2599 (369ms, valid=true)
[inst 39/100 | run 3/5] 7I4 -> profit=2599 (318ms, valid=true)
[inst 39/100 | run 4/5] 7I4 -> profit=2599 (358ms, valid=true)
[inst 39/100 | run 5/5] 7I4 -> profit=2599 (377ms, valid=true)
[inst 40/100 | run 1/5] 7I5 -> profit=2618 (370ms, valid=true)
[inst 40/100 | run 2/5] 7I5 -> profit=2618 (472ms, valid=true)
[inst 40/100 | run 3/5] 7I5 -> profit=2618 (385ms, valid=true)
[inst 40/100 | run 4/5] 7I5 -> profit=2618 (367ms, valid=true)
[inst 40/100 | run 5/5] 7I5 -> profit=2618 (373ms, valid=true)
[inst 41/100 | run 1/5] 8I1 -> profit=2569 (276ms, valid=true)
[inst 41/100 | run 2/5] 8I1 -> profit=2569 (275ms, valid=true)
[inst 41/100 | run 3/5] 8I1 -> profit=2569 (273ms, valid=true)
[inst 41/100 | run 4/5] 8I1 -> profit=2569 (271ms, valid=true)
[inst 41/100 | run 5/5] 8I1 -> profit=2569 (288ms, valid=true)
[inst 42/100 | run 1/5] 8I2 -> profit=2570 (284ms, valid=true)
[inst 42/100 | run 2/5] 8I2 -> profit=2570 (282ms, valid=true)
[inst 42/100 | run 3/5] 8I2 -> profit=2570 (281ms, valid=true)
[inst 42/100 | run 4/5] 8I2 -> profit=2570 (282ms, valid=true)
[inst 42/100 | run 5/5] 8I2 -> profit=2570 (333ms, valid=true)
[inst 43/100 | run 1/5] 8I3 -> profit=2548 (225ms, valid=true)
[inst 43/100 | run 2/5] 8I3 -> profit=2548 (224ms, valid=true)
[inst 43/100 | run 3/5] 8I3 -> profit=2548 (224ms, valid=true)
[inst 43/100 | run 4/5] 8I3 -> profit=2548 (224ms, valid=true)
[inst 43/100 | run 5/5] 8I3 -> profit=2548 (223ms, valid=true)
[inst 44/100 | run 1/5] 8I4 -> profit=2538 (218ms, valid=true)
[inst 44/100 | run 2/5] 8I4 -> profit=2538 (254ms, valid=true)
[inst 44/100 | run 3/5] 8I4 -> profit=2538 (221ms, valid=true)
[inst 44/100 | run 4/5] 8I4 -> profit=2538 (223ms, valid=true)
[inst 44/100 | run 5/5] 8I4 -> profit=2538 (221ms, valid=true)
[inst 45/100 | run 1/5] 8I5 -> profit=2569 (333ms, valid=true)
[inst 45/100 | run 2/5] 8I5 -> profit=2569 (357ms, valid=true)
[inst 45/100 | run 3/5] 8I5 -> profit=2569 (290ms, valid=true)
[inst 45/100 | run 4/5] 8I5 -> profit=2569 (290ms, valid=true)
[inst 45/100 | run 5/5] 8I5 -> profit=2569 (287ms, valid=true)
[inst 46/100 | run 1/5] 9I1 -> profit=2528 (204ms, valid=true)
[inst 46/100 | run 2/5] 9I1 -> profit=2528 (206ms, valid=true)
[inst 46/100 | run 3/5] 9I1 -> profit=2528 (205ms, valid=true)
[inst 46/100 | run 4/5] 9I1 -> profit=2528 (204ms, valid=true)
[inst 46/100 | run 5/5] 9I1 -> profit=2528 (256ms, valid=true)
[inst 47/100 | run 1/5] 9I2 -> profit=2504 (182ms, valid=true)
[inst 47/100 | run 2/5] 9I2 -> profit=2504 (180ms, valid=true)
[inst 47/100 | run 3/5] 9I2 -> profit=2504 (182ms, valid=true)
[inst 47/100 | run 4/5] 9I2 -> profit=2504 (181ms, valid=true)
[inst 47/100 | run 5/5] 9I2 -> profit=2504 (182ms, valid=true)
[inst 48/100 | run 1/5] 9I3 -> profit=2530 (205ms, valid=true)
[inst 48/100 | run 2/5] 9I3 -> profit=2530 (207ms, valid=true)
[inst 48/100 | run 3/5] 9I3 -> profit=2530 (204ms, valid=true)
[inst 48/100 | run 4/5] 9I3 -> profit=2530 (204ms, valid=true)
[inst 48/100 | run 5/5] 9I3 -> profit=2530 (277ms, valid=true)
[inst 49/100 | run 1/5] 9I4 -> profit=2510 (181ms, valid=true)
[inst 49/100 | run 2/5] 9I4 -> profit=2510 (182ms, valid=true)
[inst 49/100 | run 3/5] 9I4 -> profit=2510 (186ms, valid=true)
[inst 49/100 | run 4/5] 9I4 -> profit=2510 (182ms, valid=true)
[inst 49/100 | run 5/5] 9I4 -> profit=2510 (179ms, valid=true)
[inst 50/100 | run 1/5] 9I5 -> profit=2500 (165ms, valid=true)
[inst 50/100 | run 2/5] 9I5 -> profit=2500 (160ms, valid=true)
[inst 50/100 | run 3/5] 9I5 -> profit=2500 (161ms, valid=true)
[inst 50/100 | run 4/5] 9I5 -> profit=2500 (161ms, valid=true)
[inst 50/100 | run 5/5] 9I5 -> profit=2500 (161ms, valid=true)
[inst 51/100 | run 1/5] 11I1 -> profit=4810 (3372ms, valid=true)
[inst 51/100 | run 2/5] 11I1 -> profit=4810 (3404ms, valid=true)
[inst 51/100 | run 3/5] 11I1 -> profit=4810 (3452ms, valid=true)
[inst 51/100 | run 4/5] 11I1 -> profit=4810 (3435ms, valid=true)
[inst 51/100 | run 5/5] 11I1 -> profit=4810 (3671ms, valid=true)
[inst 52/100 | run 1/5] 11I2 -> profit=4819 (3564ms, valid=true)
[inst 52/100 | run 2/5] 11I2 -> profit=4819 (3521ms, valid=true)
[inst 52/100 | run 3/5] 11I2 -> profit=4819 (3654ms, valid=true)
[inst 52/100 | run 4/5] 11I2 -> profit=4819 (3513ms, valid=true)
[inst 52/100 | run 5/5] 11I2 -> profit=4819 (3467ms, valid=true)
[inst 53/100 | run 1/5] 11I3 -> profit=4830 (3754ms, valid=true)
[inst 53/100 | run 2/5] 11I3 -> profit=4830 (4109ms, valid=true)
[inst 53/100 | run 3/5] 11I3 -> profit=4830 (4114ms, valid=true)
[inst 53/100 | run 4/5] 11I3 -> profit=4830 (4035ms, valid=true)
[inst 53/100 | run 5/5] 11I3 -> profit=4830 (4390ms, valid=true)
[inst 54/100 | run 1/5] 11I4 -> profit=4809 (3861ms, valid=true)
[inst 54/100 | run 2/5] 11I4 -> profit=4809 (3609ms, valid=true)
[inst 54/100 | run 3/5] 11I4 -> profit=4809 (3582ms, valid=true)
[inst 54/100 | run 4/5] 11I4 -> profit=4809 (3868ms, valid=true)
[inst 54/100 | run 5/5] 11I4 -> profit=4809 (3582ms, valid=true)
[inst 55/100 | run 1/5] 11I5 -> profit=4780 (3325ms, valid=true)
[inst 55/100 | run 2/5] 11I5 -> profit=4780 (3278ms, valid=true)
[inst 55/100 | run 3/5] 11I5 -> profit=4780 (3346ms, valid=true)
[inst 55/100 | run 4/5] 11I5 -> profit=4780 (3494ms, valid=true)
[inst 55/100 | run 5/5] 11I5 -> profit=4780 (3223ms, valid=true)
[inst 56/100 | run 1/5] 12I1 -> profit=4539 (941ms, valid=true)
[inst 56/100 | run 2/5] 12I1 -> profit=4539 (964ms, valid=true)
[inst 56/100 | run 3/5] 12I1 -> profit=4539 (936ms, valid=true)
[inst 56/100 | run 4/5] 12I1 -> profit=4539 (1032ms, valid=true)
[inst 56/100 | run 5/5] 12I1 -> profit=4539 (946ms, valid=true)
[inst 57/100 | run 1/5] 12I2 -> profit=4540 (961ms, valid=true)
[inst 57/100 | run 2/5] 12I2 -> profit=4540 (959ms, valid=true)
[inst 57/100 | run 3/5] 12I2 -> profit=4540 (1173ms, valid=true)
[inst 57/100 | run 4/5] 12I2 -> profit=4540 (962ms, valid=true)
[inst 57/100 | run 5/5] 12I2 -> profit=4540 (976ms, valid=true)
[inst 58/100 | run 1/5] 12I3 -> profit=4530 (934ms, valid=true)
[inst 58/100 | run 2/5] 12I3 -> profit=4530 (949ms, valid=true)
[inst 58/100 | run 3/5] 12I3 -> profit=4530 (1025ms, valid=true)
[inst 58/100 | run 4/5] 12I3 -> profit=4530 (939ms, valid=true)
[inst 58/100 | run 5/5] 12I3 -> profit=4530 (951ms, valid=true)
[inst 59/100 | run 1/5] 12I4 -> profit=4519 (889ms, valid=true)
[inst 59/100 | run 2/5] 12I4 -> profit=4519 (875ms, valid=true)
[inst 59/100 | run 3/5] 12I4 -> profit=4519 (899ms, valid=true)
[inst 59/100 | run 4/5] 12I4 -> profit=4519 (866ms, valid=true)
[inst 59/100 | run 5/5] 12I4 -> profit=4519 (863ms, valid=true)
[inst 60/100 | run 1/5] 12I5 -> profit=4529 (870ms, valid=true)
[inst 60/100 | run 2/5] 12I5 -> profit=4529 (877ms, valid=true)
[inst 60/100 | run 3/5] 12I5 -> profit=4529 (937ms, valid=true)
[inst 60/100 | run 4/5] 12I5 -> profit=4529 (963ms, valid=true)
[inst 60/100 | run 5/5] 12I5 -> profit=4529 (870ms, valid=true)
[inst 61/100 | run 1/5] 13I1 -> profit=4406 (363ms, valid=true)
[inst 61/100 | run 2/5] 13I1 -> profit=4406 (407ms, valid=true)
[inst 61/100 | run 3/5] 13I1 -> profit=4406 (385ms, valid=true)
[inst 61/100 | run 4/5] 13I1 -> profit=4406 (366ms, valid=true)
[inst 61/100 | run 5/5] 13I1 -> profit=4406 (364ms, valid=true)
[inst 62/100 | run 1/5] 13I2 -> profit=4380 (284ms, valid=true)
[inst 62/100 | run 2/5] 13I2 -> profit=4380 (287ms, valid=true)
[inst 62/100 | run 3/5] 13I2 -> profit=4380 (343ms, valid=true)
[inst 62/100 | run 4/5] 13I2 -> profit=4380 (320ms, valid=true)
[inst 62/100 | run 5/5] 13I2 -> profit=4380 (286ms, valid=true)
[inst 63/100 | run 1/5] 13I3 -> profit=4350 (226ms, valid=true)
[inst 63/100 | run 2/5] 13I3 -> profit=4350 (223ms, valid=true)
[inst 63/100 | run 3/5] 13I3 -> profit=4350 (216ms, valid=true)
[inst 63/100 | run 4/5] 13I3 -> profit=4350 (220ms, valid=true)
[inst 63/100 | run 5/5] 13I3 -> profit=4350 (219ms, valid=true)
[inst 64/100 | run 1/5] 13I4 -> profit=4388 (318ms, valid=true)
[inst 64/100 | run 2/5] 13I4 -> profit=4388 (362ms, valid=true)
[inst 64/100 | run 3/5] 13I4 -> profit=4388 (312ms, valid=true)
[inst 64/100 | run 4/5] 13I4 -> profit=4388 (317ms, valid=true)
[inst 64/100 | run 5/5] 13I4 -> profit=4388 (315ms, valid=true)
[inst 65/100 | run 1/5] 13I5 -> profit=4370 (276ms, valid=true)
[inst 65/100 | run 2/5] 13I5 -> profit=4370 (273ms, valid=true)
