nohup: ignoring input
>>> Building unified WSL target in build/ ...
cmake -S . -B build -G "Ninja" -DCMAKE_BUILD_TYPE=Release -DDCKP_ENABLE_SANITIZERS=OFF -DDCKP_ENABLE_HARDENING=ON 
-- Configuring done (0.8s)
-- Generating done (0.2s)
-- Build files have been written to: /mnt/c/Users/thall/Documents/dckp-sbpo/build
cmake --build build --parallel
ninja: no work to do.
[inst 16/100 | run 1/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 16/100 | run 2/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 16/100 | run 3/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 16/100 | run 4/5] 3I1 -> profit=1603 (10000ms, valid=true)
[inst 16/100 | run 5/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 17/100 | run 1/5] 3I2 -> profit=1577 (10000ms, valid=true)
[inst 17/100 | run 2/5] 3I2 -> profit=1577 (10000ms, valid=true)
[inst 17/100 | run 3/5] 3I2 -> profit=1577 (10000ms, valid=true)
[inst 17/100 | run 4/5] 3I2 -> profit=1577 (10000ms, valid=true)
[inst 17/100 | run 5/5] 3I2 -> profit=1577 (10000ms, valid=true)
[inst 18/100 | run 1/5] 3I3 -> profit=1611 (10000ms, valid=true)
[inst 18/100 | run 2/5] 3I3 -> profit=1611 (10000ms, valid=true)
[inst 18/100 | run 3/5] 3I3 -> profit=1611 (10000ms, valid=true)
[inst 18/100 | run 4/5] 3I3 -> profit=1611 (10000ms, valid=true)
[inst 18/100 | run 5/5] 3I3 -> profit=1611 (10000ms, valid=true)
[inst 19/100 | run 1/5] 3I4 -> profit=1605 (10000ms, valid=true)
[inst 19/100 | run 2/5] 3I4 -> profit=1605 (10000ms, valid=true)
[inst 19/100 | run 3/5] 3I4 -> profit=1605 (10000ms, valid=true)
[inst 19/100 | run 4/5] 3I4 -> profit=1605 (10000ms, valid=true)
[inst 19/100 | run 5/5] 3I4 -> profit=1605 (10000ms, valid=true)
[inst 20/100 | run 1/5] 3I5 -> profit=1732 (10000ms, valid=true)
[inst 20/100 | run 2/5] 3I5 -> profit=1732 (10000ms, valid=true)
[inst 20/100 | run 3/5] 3I5 -> profit=1732 (10000ms, valid=true)
[inst 20/100 | run 4/5] 3I5 -> profit=1732 (10000ms, valid=true)
[inst 20/100 | run 5/5] 3I5 -> profit=1732 (10000ms, valid=true)
[inst 21/100 | run 1/5] 4I1 -> profit=981 (10000ms, valid=true)
[inst 21/100 | run 2/5] 4I1 -> profit=981 (10000ms, valid=true)
[inst 21/100 | run 3/5] 4I1 -> profit=981 (10000ms, valid=true)
[inst 21/100 | run 4/5] 4I1 -> profit=981 (10000ms, valid=true)
[inst 21/100 | run 5/5] 4I1 -> profit=981 (10000ms, valid=true)
[inst 22/100 | run 1/5] 4I2 -> profit=1118 (10000ms, valid=true)
[inst 22/100 | run 2/5] 4I2 -> profit=1118 (10000ms, valid=true)
[inst 22/100 | run 3/5] 4I2 -> profit=1118 (10000ms, valid=true)
[inst 22/100 | run 4/5] 4I2 -> profit=1118 (10000ms, valid=true)
[inst 22/100 | run 5/5] 4I2 -> profit=1118 (10000ms, valid=true)
[inst 23/100 | run 1/5] 4I3 -> profit=1129 (10000ms, valid=true)
[inst 23/100 | run 2/5] 4I3 -> profit=1129 (10000ms, valid=true)
[inst 23/100 | run 3/5] 4I3 -> profit=1129 (10000ms, valid=true)
[inst 23/100 | run 4/5] 4I3 -> profit=1129 (10000ms, valid=true)
[inst 23/100 | run 5/5] 4I3 -> profit=1129 (10000ms, valid=true)
[inst 24/100 | run 1/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 24/100 | run 2/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 24/100 | run 3/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 24/100 | run 4/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 24/100 | run 5/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 25/100 | run 1/5] 4I5 -> profit=957 (10000ms, valid=true)
[inst 25/100 | run 2/5] 4I5 -> profit=957 (10000ms, valid=true)
[inst 25/100 | run 3/5] 4I5 -> profit=957 (10000ms, valid=true)
[inst 25/100 | run 4/5] 4I5 -> profit=957 (10000ms, valid=true)
[inst 25/100 | run 5/5] 4I5 -> profit=957 (10000ms, valid=true)
[inst 26/100 | run 1/5] 5I1 -> profit=2610 (10000ms, valid=true)
[inst 26/100 | run 2/5] 5I1 -> profit=2618 (10000ms, valid=true)
[inst 26/100 | run 3/5] 5I1 -> profit=2630 (10000ms, valid=true)
[inst 26/100 | run 4/5] 5I1 -> profit=2620 (10000ms, valid=true)
[inst 26/100 | run 5/5] 5I1 -> profit=2610 (10000ms, valid=true)
[inst 27/100 | run 1/5] 5I2 -> profit=2650 (10000ms, valid=true)
[inst 27/100 | run 2/5] 5I2 -> profit=2640 (10000ms, valid=true)
[inst 27/100 | run 3/5] 5I2 -> profit=2650 (10000ms, valid=true)
[inst 27/100 | run 4/5] 5I2 -> profit=2630 (10000ms, valid=true)
[inst 27/100 | run 5/5] 5I2 -> profit=2610 (10000ms, valid=true)
[inst 28/100 | run 1/5] 5I3 -> profit=2600 (10000ms, valid=true)
[inst 28/100 | run 2/5] 5I3 -> profit=2618 (10000ms, valid=true)
[inst 28/100 | run 3/5] 5I3 -> profit=2630 (10000ms, valid=true)
[inst 28/100 | run 4/5] 5I3 -> profit=2629 (10000ms, valid=true)
[inst 28/100 | run 5/5] 5I3 -> profit=2629 (10000ms, valid=true)
[inst 29/100 | run 1/5] 5I4 -> profit=2649 (10000ms, valid=true)
[inst 29/100 | run 2/5] 5I4 -> profit=2620 (10000ms, valid=true)
[inst 29/100 | run 3/5] 5I4 -> profit=2640 (10000ms, valid=true)
[inst 29/100 | run 4/5] 5I4 -> profit=2630 (10000ms, valid=true)
[inst 29/100 | run 5/5] 5I4 -> profit=2660 (10000ms, valid=true)
[inst 30/100 | run 1/5] 5I5 -> profit=2630 (10000ms, valid=true)
[inst 30/100 | run 2/5] 5I5 -> profit=2639 (10000ms, valid=true)
[inst 30/100 | run 3/5] 5I5 -> profit=2630 (10000ms, valid=true)
[inst 30/100 | run 4/5] 5I5 -> profit=2640 (10000ms, valid=true)
[inst 30/100 | run 5/5] 5I5 -> profit=2630 (10000ms, valid=true)
[inst 31/100 | run 1/5] 6I1 -> profit=2773 (10000ms, valid=true)
[inst 31/100 | run 2/5] 6I1 -> profit=2748 (10000ms, valid=true)
[inst 31/100 | run 3/5] 6I1 -> profit=2760 (10000ms, valid=true)
[inst 31/100 | run 4/5] 6I1 -> profit=2740 (10000ms, valid=true)
[inst 31/100 | run 5/5] 6I1 -> profit=2760 (10000ms, valid=true)
[inst 32/100 | run 1/5] 6I2 -> profit=2780 (10000ms, valid=true)
[inst 32/100 | run 2/5] 6I2 -> profit=2760 (10000ms, valid=true)
[inst 32/100 | run 3/5] 6I2 -> profit=2750 (10000ms, valid=true)
[inst 32/100 | run 4/5] 6I2 -> profit=2750 (10000ms, valid=true)
[inst 32/100 | run 5/5] 6I2 -> profit=2760 (10000ms, valid=true)
[inst 33/100 | run 1/5] 6I3 -> profit=2750 (10000ms, valid=true)
[inst 33/100 | run 2/5] 6I3 -> profit=2759 (10000ms, valid=true)
[inst 33/100 | run 3/5] 6I3 -> profit=2720 (10000ms, valid=true)
[inst 33/100 | run 4/5] 6I3 -> profit=2770 (10000ms, valid=true)
[inst 33/100 | run 5/5] 6I3 -> profit=2760 (10000ms, valid=true)
[inst 34/100 | run 1/5] 6I4 -> profit=2739 (10000ms, valid=true)
[inst 34/100 | run 2/5] 6I4 -> profit=2770 (10000ms, valid=true)
[inst 34/100 | run 3/5] 6I4 -> profit=2740 (10000ms, valid=true)
[inst 34/100 | run 4/5] 6I4 -> profit=2740 (10000ms, valid=true)
[inst 34/100 | run 5/5] 6I4 -> profit=2740 (10000ms, valid=true)
[inst 35/100 | run 1/5] 6I5 -> profit=2790 (10000ms, valid=true)
[inst 35/100 | run 2/5] 6I5 -> profit=2779 (10000ms, valid=true)
[inst 35/100 | run 3/5] 6I5 -> profit=2770 (10000ms, valid=true)
[inst 35/100 | run 4/5] 6I5 -> profit=2760 (10000ms, valid=true)
[inst 35/100 | run 5/5] 6I5 -> profit=2780 (10000ms, valid=true)
[inst 36/100 | run 1/5] 7I1 -> profit=2700 (10000ms, valid=true)
[inst 36/100 | run 2/5] 7I1 -> profit=2700 (10000ms, valid=true)
[inst 36/100 | run 3/5] 7I1 -> profit=2700 (10000ms, valid=true)
[inst 36/100 | run 4/5] 7I1 -> profit=2700 (10000ms, valid=true)
[inst 36/100 | run 5/5] 7I1 -> profit=2680 (10000ms, valid=true)
[inst 37/100 | run 1/5] 7I2 -> profit=2700 (10000ms, valid=true)
[inst 37/100 | run 2/5] 7I2 -> profit=2658 (10000ms, valid=true)
[inst 37/100 | run 3/5] 7I2 -> profit=2690 (10000ms, valid=true)
[inst 37/100 | run 4/5] 7I2 -> profit=2680 (10000ms, valid=true)
[inst 37/100 | run 5/5] 7I2 -> profit=2690 (10000ms, valid=true)
[inst 38/100 | run 1/5] 7I3 -> profit=2690 (10000ms, valid=true)
[inst 38/100 | run 2/5] 7I3 -> profit=2680 (10000ms, valid=true)
[inst 38/100 | run 3/5] 7I3 -> profit=2664 (10000ms, valid=true)
[inst 38/100 | run 4/5] 7I3 -> profit=2699 (10000ms, valid=true)
[inst 38/100 | run 5/5] 7I3 -> profit=2668 (10000ms, valid=true)
[inst 39/100 | run 1/5] 7I4 -> profit=2700 (10000ms, valid=true)
[inst 39/100 | run 2/5] 7I4 -> profit=2710 (10000ms, valid=true)
[inst 39/100 | run 3/5] 7I4 -> profit=2730 (10000ms, valid=true)
[inst 39/100 | run 4/5] 7I4 -> profit=2700 (10000ms, valid=true)
[inst 39/100 | run 5/5] 7I4 -> profit=2725 (10000ms, valid=true)
[inst 40/100 | run 1/5] 7I5 -> profit=2710 (10000ms, valid=true)
[inst 40/100 | run 2/5] 7I5 -> profit=2700 (10000ms, valid=true)
[inst 40/100 | run 3/5] 7I5 -> profit=2689 (10000ms, valid=true)
[inst 40/100 | run 4/5] 7I5 -> profit=2700 (10000ms, valid=true)
[inst 40/100 | run 5/5] 7I5 -> profit=2709 (10000ms, valid=true)
[inst 41/100 | run 1/5] 8I1 -> profit=2640 (10000ms, valid=true)
[inst 41/100 | run 2/5] 8I1 -> profit=2680 (10000ms, valid=true)
[inst 41/100 | run 3/5] 8I1 -> profit=2630 (10000ms, valid=true)
[inst 41/100 | run 4/5] 8I1 -> profit=2630 (10000ms, valid=true)
[inst 41/100 | run 5/5] 8I1 -> profit=2640 (10000ms, valid=true)
[inst 42/100 | run 1/5] 8I2 -> profit=2648 (10000ms, valid=true)
[inst 42/100 | run 2/5] 8I2 -> profit=2660 (10000ms, valid=true)
[inst 42/100 | run 3/5] 8I2 -> profit=2639 (10000ms, valid=true)
[inst 42/100 | run 4/5] 8I2 -> profit=2640 (10000ms, valid=true)
[inst 42/100 | run 5/5] 8I2 -> profit=2650 (10000ms, valid=true)
[inst 43/100 | run 1/5] 8I3 -> profit=2657 (10000ms, valid=true)
[inst 43/100 | run 2/5] 8I3 -> profit=2650 (10000ms, valid=true)
[inst 43/100 | run 3/5] 8I3 -> profit=2610 (10000ms, valid=true)
[inst 43/100 | run 4/5] 8I3 -> profit=2650 (10000ms, valid=true)
[inst 43/100 | run 5/5] 8I3 -> profit=2650 (10000ms, valid=true)
[inst 44/100 | run 1/5] 8I4 -> profit=2640 (10000ms, valid=true)
[inst 44/100 | run 2/5] 8I4 -> profit=2630 (10000ms, valid=true)
[inst 44/100 | run 3/5] 8I4 -> profit=2630 (10000ms, valid=true)
[inst 44/100 | run 4/5] 8I4 -> profit=2650 (10000ms, valid=true)
[inst 44/100 | run 5/5] 8I4 -> profit=2630 (10000ms, valid=true)
[inst 45/100 | run 1/5] 8I5 -> profit=2610 (10000ms, valid=true)
[inst 45/100 | run 2/5] 8I5 -> profit=2639 (10000ms, valid=true)
[inst 45/100 | run 3/5] 8I5 -> profit=2620 (10000ms, valid=true)
[inst 45/100 | run 4/5] 8I5 -> profit=2610 (10000ms, valid=true)
[inst 45/100 | run 5/5] 8I5 -> profit=2650 (10000ms, valid=true)
[inst 46/100 | run 1/5] 9I1 -> profit=2600 (10000ms, valid=true)
[inst 46/100 | run 2/5] 9I1 -> profit=2590 (10000ms, valid=true)
[inst 46/100 | run 3/5] 9I1 -> profit=2590 (10000ms, valid=true)
[inst 46/100 | run 4/5] 9I1 -> profit=2600 (10000ms, valid=true)
[inst 46/100 | run 5/5] 9I1 -> profit=2580 (10000ms, valid=true)
[inst 47/100 | run 1/5] 9I2 -> profit=2599 (10000ms, valid=true)
[inst 47/100 | run 2/5] 9I2 -> profit=2590 (10000ms, valid=true)
[inst 47/100 | run 3/5] 9I2 -> profit=2560 (10000ms, valid=true)
[inst 47/100 | run 4/5] 9I2 -> profit=2568 (10000ms, valid=true)
[inst 47/100 | run 5/5] 9I2 -> profit=2590 (10000ms, valid=true)
[inst 48/100 | run 1/5] 9I3 -> profit=2585 (10000ms, valid=true)
[inst 48/100 | run 2/5] 9I3 -> profit=2560 (10000ms, valid=true)
[inst 48/100 | run 3/5] 9I3 -> profit=2550 (10000ms, valid=true)
[inst 48/100 | run 4/5] 9I3 -> profit=2566 (10000ms, valid=true)
[inst 48/100 | run 5/5] 9I3 -> profit=2570 (10000ms, valid=true)
[inst 49/100 | run 1/5] 9I4 -> profit=2600 (10000ms, valid=true)
[inst 49/100 | run 2/5] 9I4 -> profit=2600 (10000ms, valid=true)
[inst 49/100 | run 3/5] 9I4 -> profit=2579 (10000ms, valid=true)
[inst 49/100 | run 4/5] 9I4 -> profit=2580 (10000ms, valid=true)
[inst 49/100 | run 5/5] 9I4 -> profit=2584 (10000ms, valid=true)
[inst 50/100 | run 1/5] 9I5 -> profit=2600 (10000ms, valid=true)
[inst 50/100 | run 2/5] 9I5 -> profit=2580 (10000ms, valid=true)
[inst 50/100 | run 3/5] 9I5 -> profit=2598 (10000ms, valid=true)
[inst 50/100 | run 4/5] 9I5 -> profit=2589 (10000ms, valid=true)
[inst 50/100 | run 5/5] 9I5 -> profit=2609 (10000ms, valid=true)
[inst 51/100 | run 1/5] 11I1 -> profit=4869 (10000ms, valid=true)
[inst 51/100 | run 2/5] 11I1 -> profit=4860 (10000ms, valid=true)
[inst 51/100 | run 3/5] 11I1 -> profit=4860 (10000ms, valid=true)
[inst 51/100 | run 4/5] 11I1 -> profit=4858 (10000ms, valid=true)
[inst 51/100 | run 5/5] 11I1 -> profit=4840 (10000ms, valid=true)
[inst 52/100 | run 1/5] 11I2 -> profit=4840 (10000ms, valid=true)
[inst 52/100 | run 2/5] 11I2 -> profit=4860 (10000ms, valid=true)
[inst 52/100 | run 3/5] 11I2 -> profit=4870 (10000ms, valid=true)
[inst 52/100 | run 4/5] 11I2 -> profit=4859 (10000ms, valid=true)
[inst 52/100 | run 5/5] 11I2 -> profit=4838 (10000ms, valid=true)
[inst 53/100 | run 1/5] 11I3 -> profit=4859 (10000ms, valid=true)
[inst 53/100 | run 2/5] 11I3 -> profit=4870 (10000ms, valid=true)
[inst 53/100 | run 3/5] 11I3 -> profit=4850 (10000ms, valid=true)
[inst 53/100 | run 4/5] 11I3 -> profit=4850 (10000ms, valid=true)
[inst 53/100 | run 5/5] 11I3 -> profit=4849 (10000ms, valid=true)
[inst 54/100 | run 1/5] 11I4 -> profit=4839 (10000ms, valid=true)
[inst 54/100 | run 2/5] 11I4 -> profit=4850 (10000ms, valid=true)
[inst 54/100 | run 3/5] 11I4 -> profit=4840 (10000ms, valid=true)
[inst 54/100 | run 4/5] 11I4 -> profit=4844 (10000ms, valid=true)
[inst 54/100 | run 5/5] 11I4 -> profit=4857 (10000ms, valid=true)
[inst 55/100 | run 1/5] 11I5 -> profit=4820 (10000ms, valid=true)
[inst 55/100 | run 2/5] 11I5 -> profit=4810 (10000ms, valid=true)
[inst 55/100 | run 3/5] 11I5 -> profit=4808 (10000ms, valid=true)
[inst 55/100 | run 4/5] 11I5 -> profit=4810 (10000ms, valid=true)
[inst 55/100 | run 5/5] 11I5 -> profit=4820 (10000ms, valid=true)
[inst 56/100 | run 1/5] 12I1 -> profit=4590 (10000ms, valid=true)
[inst 56/100 | run 2/5] 12I1 -> profit=4598 (10000ms, valid=true)
[inst 56/100 | run 3/5] 12I1 -> profit=4599 (10000ms, valid=true)
[inst 56/100 | run 4/5] 12I1 -> profit=4614 (10000ms, valid=true)
[inst 56/100 | run 5/5] 12I1 -> profit=4577 (10000ms, valid=true)
[inst 57/100 | run 1/5] 12I2 -> profit=4580 (10000ms, valid=true)
[inst 57/100 | run 2/5] 12I2 -> profit=4579 (10000ms, valid=true)
[inst 57/100 | run 3/5] 12I2 -> profit=4598 (10000ms, valid=true)
[inst 57/100 | run 4/5] 12I2 -> profit=4580 (10000ms, valid=true)
