nohup: ignoring input
>>> Building unified WSL target in build/ ...
cmake -S . -B build -G "Ninja" -DCMAKE_BUILD_TYPE=Release -DDCKP_ENABLE_SANITIZERS=OFF -DDCKP_ENABLE_HARDENING=ON 
-- Configuring done (0.7s)
-- Generating done (0.2s)
-- Build files have been written to: /mnt/c/Users/thall/Documents/dckp-sbpo/build
cmake --build build --parallel
ninja: no work to do.
[inst 16/100 | run 1/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 16/100 | run 2/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 16/100 | run 3/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 16/100 | run 4/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 16/100 | run 5/5] 3I1 -> profit=1575 (10000ms, valid=true)
[inst 17/100 | run 1/5] 3I2 -> profit=1608 (10000ms, valid=true)
[inst 17/100 | run 2/5] 3I2 -> profit=1608 (10000ms, valid=true)
[inst 17/100 | run 3/5] 3I2 -> profit=1608 (10000ms, valid=true)
[inst 17/100 | run 4/5] 3I2 -> profit=1608 (10000ms, valid=true)
[inst 17/100 | run 5/5] 3I2 -> profit=1608 (10000ms, valid=true)
[inst 18/100 | run 1/5] 3I3 -> profit=1678 (10000ms, valid=true)
[inst 18/100 | run 2/5] 3I3 -> profit=1684 (10000ms, valid=true)
[inst 18/100 | run 3/5] 3I3 -> profit=1684 (10000ms, valid=true)
[inst 18/100 | run 4/5] 3I3 -> profit=1678 (10000ms, valid=true)
[inst 18/100 | run 5/5] 3I3 -> profit=1684 (10000ms, valid=true)
[inst 19/100 | run 1/5] 3I4 -> profit=1614 (10000ms, valid=true)
[inst 19/100 | run 2/5] 3I4 -> profit=1614 (10000ms, valid=true)
[inst 19/100 | run 3/5] 3I4 -> profit=1614 (10000ms, valid=true)
[inst 19/100 | run 4/5] 3I4 -> profit=1614 (10000ms, valid=true)
[inst 19/100 | run 5/5] 3I4 -> profit=1614 (10000ms, valid=true)
[inst 20/100 | run 1/5] 3I5 -> profit=1635 (10000ms, valid=true)
[inst 20/100 | run 2/5] 3I5 -> profit=1577 (10000ms, valid=true)
[inst 20/100 | run 3/5] 3I5 -> profit=1577 (10000ms, valid=true)
[inst 20/100 | run 4/5] 3I5 -> profit=1635 (10000ms, valid=true)
[inst 20/100 | run 5/5] 3I5 -> profit=1577 (10000ms, valid=true)
[inst 21/100 | run 1/5] 4I1 -> profit=1100 (10000ms, valid=true)
[inst 21/100 | run 2/5] 4I1 -> profit=1100 (10000ms, valid=true)
[inst 21/100 | run 3/5] 4I1 -> profit=1100 (10000ms, valid=true)
[inst 21/100 | run 4/5] 4I1 -> profit=1198 (10000ms, valid=true)
[inst 21/100 | run 5/5] 4I1 -> profit=1198 (10000ms, valid=true)
[inst 22/100 | run 1/5] 4I2 -> profit=1262 (10000ms, valid=true)
[inst 22/100 | run 2/5] 4I2 -> profit=1262 (10000ms, valid=true)
[inst 22/100 | run 3/5] 4I2 -> profit=1262 (10000ms, valid=true)
[inst 22/100 | run 4/5] 4I2 -> profit=1262 (10000ms, valid=true)
[inst 22/100 | run 5/5] 4I2 -> profit=1262 (10000ms, valid=true)
[inst 23/100 | run 1/5] 4I3 -> profit=1294 (10000ms, valid=true)
[inst 23/100 | run 2/5] 4I3 -> profit=1249 (10000ms, valid=true)
[inst 23/100 | run 3/5] 4I3 -> profit=1249 (10000ms, valid=true)
[inst 23/100 | run 4/5] 4I3 -> profit=1294 (10000ms, valid=true)
[inst 23/100 | run 5/5] 4I3 -> profit=1294 (10000ms, valid=true)
[inst 24/100 | run 1/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 24/100 | run 2/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 24/100 | run 3/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 24/100 | run 4/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 24/100 | run 5/5] 4I4 -> profit=1209 (10000ms, valid=true)
[inst 25/100 | run 1/5] 4I5 -> profit=1294 (10000ms, valid=true)
[inst 25/100 | run 2/5] 4I5 -> profit=1126 (10000ms, valid=true)
[inst 25/100 | run 3/5] 4I5 -> profit=1308 (10000ms, valid=true)
[inst 25/100 | run 4/5] 4I5 -> profit=1167 (10000ms, valid=true)
[inst 25/100 | run 5/5] 4I5 -> profit=1105 (10000ms, valid=true)
[inst 26/100 | run 1/5] 5I1 -> profit=2590 (10000ms, valid=true)
[inst 26/100 | run 2/5] 5I1 -> profit=2630 (10000ms, valid=true)
[inst 26/100 | run 3/5] 5I1 -> profit=2600 (10000ms, valid=true)
[inst 26/100 | run 4/5] 5I1 -> profit=2620 (10000ms, valid=true)
[inst 26/100 | run 5/5] 5I1 -> profit=2620 (10000ms, valid=true)
[inst 27/100 | run 1/5] 5I2 -> profit=2570 (10000ms, valid=true)
[inst 27/100 | run 2/5] 5I2 -> profit=2610 (10000ms, valid=true)
[inst 27/100 | run 3/5] 5I2 -> profit=2580 (10000ms, valid=true)
[inst 27/100 | run 4/5] 5I2 -> profit=2609 (10000ms, valid=true)
[inst 27/100 | run 5/5] 5I2 -> profit=2630 (10000ms, valid=true)
[inst 28/100 | run 1/5] 5I3 -> profit=2619 (10000ms, valid=true)
[inst 28/100 | run 2/5] 5I3 -> profit=2608 (10000ms, valid=true)
[inst 28/100 | run 3/5] 5I3 -> profit=2620 (10000ms, valid=true)
[inst 28/100 | run 4/5] 5I3 -> profit=2610 (10000ms, valid=true)
[inst 28/100 | run 5/5] 5I3 -> profit=2620 (10000ms, valid=true)
[inst 29/100 | run 1/5] 5I4 -> profit=2610 (10000ms, valid=true)
[inst 29/100 | run 2/5] 5I4 -> profit=2630 (10000ms, valid=true)
[inst 29/100 | run 3/5] 5I4 -> profit=2640 (10000ms, valid=true)
[inst 29/100 | run 4/5] 5I4 -> profit=2620 (10000ms, valid=true)
[inst 29/100 | run 5/5] 5I4 -> profit=2640 (10000ms, valid=true)
[inst 30/100 | run 1/5] 5I5 -> profit=2640 (10000ms, valid=true)
[inst 30/100 | run 2/5] 5I5 -> profit=2640 (10000ms, valid=true)
[inst 30/100 | run 3/5] 5I5 -> profit=2630 (10000ms, valid=true)
[inst 30/100 | run 4/5] 5I5 -> profit=2638 (10000ms, valid=true)
[inst 30/100 | run 5/5] 5I5 -> profit=2630 (10000ms, valid=true)
[inst 31/100 | run 1/5] 6I1 -> profit=2750 (10000ms, valid=true)
[inst 31/100 | run 2/5] 6I1 -> profit=2748 (10000ms, valid=true)
[inst 31/100 | run 3/5] 6I1 -> profit=2750 (10000ms, valid=true)
[inst 31/100 | run 4/5] 6I1 -> profit=2778 (10000ms, valid=true)
[inst 31/100 | run 5/5] 6I1 -> profit=2760 (10000ms, valid=true)
[inst 32/100 | run 1/5] 6I2 -> profit=2740 (10000ms, valid=true)
[inst 32/100 | run 2/5] 6I2 -> profit=2740 (10000ms, valid=true)
[inst 32/100 | run 3/5] 6I2 -> profit=2740 (10000ms, valid=true)
[inst 32/100 | run 4/5] 6I2 -> profit=2730 (10000ms, valid=true)
[inst 32/100 | run 5/5] 6I2 -> profit=2720 (10000ms, valid=true)
[inst 33/100 | run 1/5] 6I3 -> profit=2760 (10000ms, valid=true)
[inst 33/100 | run 2/5] 6I3 -> profit=2750 (10000ms, valid=true)
[inst 33/100 | run 3/5] 6I3 -> profit=2760 (10000ms, valid=true)
[inst 33/100 | run 4/5] 6I3 -> profit=2740 (10000ms, valid=true)
[inst 33/100 | run 5/5] 6I3 -> profit=2770 (10000ms, valid=true)
[inst 34/100 | run 1/5] 6I4 -> profit=2760 (10000ms, valid=true)
[inst 34/100 | run 2/5] 6I4 -> profit=2740 (10000ms, valid=true)
[inst 34/100 | run 3/5] 6I4 -> profit=2740 (10000ms, valid=true)
[inst 34/100 | run 4/5] 6I4 -> profit=2760 (10000ms, valid=true)
[inst 34/100 | run 5/5] 6I4 -> profit=2743 (10000ms, valid=true)
[inst 35/100 | run 1/5] 6I5 -> profit=2770 (10000ms, valid=true)
[inst 35/100 | run 2/5] 6I5 -> profit=2750 (10000ms, valid=true)
[inst 35/100 | run 3/5] 6I5 -> profit=2750 (10000ms, valid=true)
[inst 35/100 | run 4/5] 6I5 -> profit=2770 (10000ms, valid=true)
[inst 35/100 | run 5/5] 6I5 -> profit=2740 (10000ms, valid=true)
[inst 36/100 | run 1/5] 7I1 -> profit=2660 (10000ms, valid=true)
[inst 36/100 | run 2/5] 7I1 -> profit=2669 (10000ms, valid=true)
[inst 36/100 | run 3/5] 7I1 -> profit=2679 (10000ms, valid=true)
[inst 36/100 | run 4/5] 7I1 -> profit=2659 (10000ms, valid=true)
[inst 36/100 | run 5/5] 7I1 -> profit=2650 (10000ms, valid=true)
[inst 37/100 | run 1/5] 7I2 -> profit=2660 (10000ms, valid=true)
[inst 37/100 | run 2/5] 7I2 -> profit=2680 (10000ms, valid=true)
[inst 37/100 | run 3/5] 7I2 -> profit=2650 (10000ms, valid=true)
[inst 37/100 | run 4/5] 7I2 -> profit=2670 (10000ms, valid=true)
[inst 37/100 | run 5/5] 7I2 -> profit=2660 (10000ms, valid=true)
[inst 38/100 | run 1/5] 7I3 -> profit=2660 (10000ms, valid=true)
[inst 38/100 | run 2/5] 7I3 -> profit=2655 (10000ms, valid=true)
[inst 38/100 | run 3/5] 7I3 -> profit=2690 (10000ms, valid=true)
[inst 38/100 | run 4/5] 7I3 -> profit=2640 (10000ms, valid=true)
[inst 38/100 | run 5/5] 7I3 -> profit=2679 (10000ms, valid=true)
[inst 39/100 | run 1/5] 7I4 -> profit=2725 (10000ms, valid=true)
[inst 39/100 | run 2/5] 7I4 -> profit=2690 (10000ms, valid=true)
[inst 39/100 | run 3/5] 7I4 -> profit=2670 (10000ms, valid=true)
[inst 39/100 | run 4/5] 7I4 -> profit=2660 (10000ms, valid=true)
[inst 39/100 | run 5/5] 7I4 -> profit=2680 (10000ms, valid=true)
[inst 40/100 | run 1/5] 7I5 -> profit=2720 (10000ms, valid=true)
[inst 40/100 | run 2/5] 7I5 -> profit=2710 (10000ms, valid=true)
[inst 40/100 | run 3/5] 7I5 -> profit=2710 (10000ms, valid=true)
[inst 40/100 | run 4/5] 7I5 -> profit=2687 (10000ms, valid=true)
[inst 40/100 | run 5/5] 7I5 -> profit=2710 (10000ms, valid=true)
[inst 41/100 | run 1/5] 8I1 -> profit=2619 (10000ms, valid=true)
[inst 41/100 | run 2/5] 8I1 -> profit=2630 (10000ms, valid=true)
[inst 41/100 | run 3/5] 8I1 -> profit=2630 (10000ms, valid=true)
[inst 41/100 | run 4/5] 8I1 -> profit=2620 (10000ms, valid=true)
[inst 41/100 | run 5/5] 8I1 -> profit=2610 (10000ms, valid=true)
[inst 42/100 | run 1/5] 8I2 -> profit=2600 (10000ms, valid=true)
[inst 42/100 | run 2/5] 8I2 -> profit=2630 (10000ms, valid=true)
[inst 42/100 | run 3/5] 8I2 -> profit=2610 (10000ms, valid=true)
[inst 42/100 | run 4/5] 8I2 -> profit=2635 (10000ms, valid=true)
[inst 42/100 | run 5/5] 8I2 -> profit=2630 (10000ms, valid=true)
[inst 43/100 | run 1/5] 8I3 -> profit=2630 (10000ms, valid=true)
[inst 43/100 | run 2/5] 8I3 -> profit=2630 (10000ms, valid=true)
[inst 43/100 | run 3/5] 8I3 -> profit=2610 (10000ms, valid=true)
[inst 43/100 | run 4/5] 8I3 -> profit=2630 (10000ms, valid=true)
[inst 43/100 | run 5/5] 8I3 -> profit=2620 (10000ms, valid=true)
[inst 44/100 | run 1/5] 8I4 -> profit=2638 (10000ms, valid=true)
[inst 44/100 | run 2/5] 8I4 -> profit=2607 (10000ms, valid=true)
[inst 44/100 | run 3/5] 8I4 -> profit=2620 (10000ms, valid=true)
[inst 44/100 | run 4/5] 8I4 -> profit=2640 (10000ms, valid=true)
[inst 44/100 | run 5/5] 8I4 -> profit=2630 (10000ms, valid=true)
[inst 45/100 | run 1/5] 8I5 -> profit=2610 (10000ms, valid=true)
[inst 45/100 | run 2/5] 8I5 -> profit=2610 (10000ms, valid=true)
[inst 45/100 | run 3/5] 8I5 -> profit=2610 (10000ms, valid=true)
[inst 45/100 | run 4/5] 8I5 -> profit=2610 (10000ms, valid=true)
[inst 45/100 | run 5/5] 8I5 -> profit=2600 (10000ms, valid=true)
[inst 46/100 | run 1/5] 9I1 -> profit=2590 (10000ms, valid=true)
[inst 46/100 | run 2/5] 9I1 -> profit=2595 (10000ms, valid=true)
[inst 46/100 | run 3/5] 9I1 -> profit=2590 (10000ms, valid=true)
[inst 46/100 | run 4/5] 9I1 -> profit=2590 (10000ms, valid=true)
[inst 46/100 | run 5/5] 9I1 -> profit=2580 (10000ms, valid=true)
[inst 47/100 | run 1/5] 9I2 -> profit=2600 (10000ms, valid=true)
[inst 47/100 | run 2/5] 9I2 -> profit=2600 (10000ms, valid=true)
[inst 47/100 | run 3/5] 9I2 -> profit=2568 (10000ms, valid=true)
[inst 47/100 | run 4/5] 9I2 -> profit=2590 (10000ms, valid=true)
[inst 47/100 | run 5/5] 9I2 -> profit=2550 (10000ms, valid=true)
[inst 48/100 | run 1/5] 9I3 -> profit=2560 (10000ms, valid=true)
[inst 48/100 | run 2/5] 9I3 -> profit=2560 (10000ms, valid=true)
[inst 48/100 | run 3/5] 9I3 -> profit=2580 (10000ms, valid=true)
[inst 48/100 | run 4/5] 9I3 -> profit=2550 (10000ms, valid=true)
[inst 48/100 | run 5/5] 9I3 -> profit=2550 (10000ms, valid=true)
[inst 49/100 | run 1/5] 9I4 -> profit=2560 (10000ms, valid=true)
[inst 49/100 | run 2/5] 9I4 -> profit=2564 (10000ms, valid=true)
[inst 49/100 | run 3/5] 9I4 -> profit=2560 (10000ms, valid=true)
[inst 49/100 | run 4/5] 9I4 -> profit=2580 (10000ms, valid=true)
[inst 49/100 | run 5/5] 9I4 -> profit=2580 (10000ms, valid=true)
[inst 50/100 | run 1/5] 9I5 -> profit=2590 (10000ms, valid=true)
[inst 50/100 | run 2/5] 9I5 -> profit=2570 (10000ms, valid=true)
[inst 50/100 | run 3/5] 9I5 -> profit=2560 (10000ms, valid=true)
[inst 50/100 | run 4/5] 9I5 -> profit=2588 (10000ms, valid=true)
[inst 50/100 | run 5/5] 9I5 -> profit=2580 (10000ms, valid=true)
[inst 51/100 | run 1/5] 11I1 -> profit=4860 (10000ms, valid=true)
[inst 51/100 | run 2/5] 11I1 -> profit=4850 (10000ms, valid=true)
[inst 51/100 | run 3/5] 11I1 -> profit=4837 (10000ms, valid=true)
[inst 51/100 | run 4/5] 11I1 -> profit=4860 (10000ms, valid=true)
[inst 51/100 | run 5/5] 11I1 -> profit=4849 (10000ms, valid=true)
[inst 52/100 | run 1/5] 11I2 -> profit=4850 (10000ms, valid=true)
[inst 52/100 | run 2/5] 11I2 -> profit=4859 (10000ms, valid=true)
[inst 52/100 | run 3/5] 11I2 -> profit=4860 (10000ms, valid=true)
[inst 52/100 | run 4/5] 11I2 -> profit=4860 (10000ms, valid=true)
[inst 52/100 | run 5/5] 11I2 -> profit=4859 (10000ms, valid=true)
[inst 53/100 | run 1/5] 11I3 -> profit=4850 (10000ms, valid=true)
[inst 53/100 | run 2/5] 11I3 -> profit=4850 (10000ms, valid=true)
[inst 53/100 | run 3/5] 11I3 -> profit=4850 (10000ms, valid=true)
[inst 53/100 | run 4/5] 11I3 -> profit=4850 (10000ms, valid=true)
[inst 53/100 | run 5/5] 11I3 -> profit=4840 (10000ms, valid=true)
[inst 54/100 | run 1/5] 11I4 -> profit=4850 (10000ms, valid=true)
[inst 54/100 | run 2/5] 11I4 -> profit=4858 (10000ms, valid=true)
[inst 54/100 | run 3/5] 11I4 -> profit=4840 (10000ms, valid=true)
[inst 54/100 | run 4/5] 11I4 -> profit=4850 (10000ms, valid=true)
[inst 54/100 | run 5/5] 11I4 -> profit=4865 (10000ms, valid=true)
[inst 55/100 | run 1/5] 11I5 -> profit=4810 (10000ms, valid=true)
[inst 55/100 | run 2/5] 11I5 -> profit=4790 (10000ms, valid=true)
[inst 55/100 | run 3/5] 11I5 -> profit=4790 (10000ms, valid=true)
[inst 55/100 | run 4/5] 11I5 -> profit=4800 (10000ms, valid=true)
[inst 55/100 | run 5/5] 11I5 -> profit=4800 (10000ms, valid=true)
[inst 56/100 | run 1/5] 12I1 -> profit=4588 (10000ms, valid=true)
[inst 56/100 | run 2/5] 12I1 -> profit=4570 (10000ms, valid=true)
[inst 56/100 | run 3/5] 12I1 -> profit=4587 (10000ms, valid=true)
[inst 56/100 | run 4/5] 12I1 -> profit=4570 (10000ms, valid=true)
[inst 56/100 | run 5/5] 12I1 -> profit=4569 (10000ms, valid=true)
[inst 57/100 | run 1/5] 12I2 -> profit=4569 (10000ms, valid=true)
[inst 57/100 | run 2/5] 12I2 -> profit=4577 (10000ms, valid=true)
[inst 57/100 | run 3/5] 12I2 -> profit=4560 (10000ms, valid=true)
[inst 57/100 | run 4/5] 12I2 -> profit=4559 (10000ms, valid=true)
