instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
19I4,1,28106,4110,4000,4000,0,true,Greedy_MaxProfit
19I5,1,28755,4110,4000,4000,0,true,Greedy_MaxProfit
20I1,1,24687,4109,3999,4000,0,true,Greedy_MaxProfit
20I2,1,1417,4109,3999,4000,0,true,Greedy_MaxProfit
20I3,1,30735,4120,4000,4000,0,true,Greedy_MaxProfit
20I4,1,25621,4110,4000,4000,0,true,Greedy_MaxProfit
20I5,1,7263,4110,4000,4000,0,true,Greedy_MaxProfit
# --- Group 1 (1I1-10I5, 50 instances) ---
# group1_best_profit=2220
# group1_mean_profit=1934.10
# group1_median_profit=2104.50
# group1_stddev_profit=391.62
# group1_mean_time_ms=0.00
# --- Group 2 (11I1-20I5, 50 instances) ---
# group2_best_profit=4120
# group2_mean_profit=4111.60
# group2_median_profit=4110.00
# group2_stddev_profit=4.01
# group2_mean_time_ms=0.16
# --- Overall ---
# overall_best_profit=4120
# overall_mean_profit=3022.85
# overall_median_profit=3164.00
# overall_stddev_profit=1128.39
# overall_mean_time_ms=0.08
# invalid_count=0
