instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
9I2,1,6946,2600,2000,2000,10000,true,VNS
9I2,2,29711,2600,2000,2000,10000,true,VNS
9I2,3,30325,2568,1998,2000,10000,true,VNS
9I2,4,18094,2590,2000,2000,10000,true,VNS
9I2,5,9468,2550,2000,2000,10000,true,VNS
9I3,1,4287,2560,2000,2000,10000,true,VNS
9I3,2,24347,2560,2000,2000,10000,true,VNS
9I3,3,26143,2580,2000,2000,10000,true,VNS
9I3,4,20451,2550,2000,2000,10000,true,VNS
9I3,5,2221,2550,2000,2000,10000,true,VNS
9I4,1,23965,2560,2000,2000,10000,true,VNS
9I4,2,26529,2564,1994,2000,10000,true,VNS
9I4,3,28643,2560,2000,2000,10000,true,VNS
9I4,4,6905,2580,2000,2000,10000,true,VNS
9I4,5,14671,2580,2000,2000,10000,true,VNS
9I5,1,28151,2590,2000,2000,10000,true,VNS
9I5,2,22076,2570,2000,2000,10000,true,VNS
9I5,3,27723,2560,2000,2000,10000,true,VNS
9I5,4,24656,2588,1998,2000,10000,true,VNS
9I5,5,4680,2580,2000,2000,10000,true,VNS
11I1,1,221,4860,4000,4000,10000,true,VNS
11I1,2,19845,4850,4000,4000,10000,true,VNS
11I1,3,12877,4837,3997,4000,10000,true,VNS
11I1,4,24833,4860,4000,4000,10000,true,VNS
11I1,5,21281,4849,3999,4000,10000,true,VNS
11I2,1,28542,4850,4000,4000,10000,true,VNS
11I2,2,31832,4859,3999,4000,10000,true,VNS
11I2,3,30119,4860,4000,4000,10000,true,VNS
11I2,4,4531,4860,4000,4000,10000,true,VNS
11I2,5,8128,4859,3999,4000,10000,true,VNS
11I3,1,2651,4850,4000,4000,10000,true,VNS
11I3,2,21102,4850,4000,4000,10000,true,VNS
11I3,3,13626,4850,4000,4000,10000,true,VNS
11I3,4,26026,4850,4000,4000,10000,true,VNS
11I3,5,15,4840,4000,4000,10000,true,VNS
11I4,1,17795,4850,4000,4000,10000,true,VNS
11I4,2,31657,4858,3998,4000,10000,true,VNS
11I4,3,20339,4840,4000,4000,10000,true,VNS
11I4,4,7472,4850,4000,4000,10000,true,VNS
11I4,5,25855,4865,3995,4000,10000,true,VNS
11I5,1,2325,4810,4000,4000,10000,true,VNS
11I5,2,17163,4790,4000,4000,10000,true,VNS
11I5,3,614,4790,4000,4000,10000,true,VNS
11I5,4,672,4800,4000,4000,10000,true,VNS
11I5,5,28773,4800,4000,4000,10000,true,VNS
12I1,1,9385,4588,3998,4000,10000,true,VNS
12I1,2,20263,4570,4000,4000,10000,true,VNS
12I1,3,24226,4587,3997,4000,10000,true,VNS
12I1,4,18778,4570,4000,4000,10000,true,VNS
12I1,5,11363,4569,3999,4000,10000,true,VNS
12I2,1,28911,4569,3999,4000,10000,true,VNS
