instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
15I1,5,19572,4310,4000,4000,10000,true,ILS
15I2,1,14587,4310,4000,4000,10000,true,ILS
15I2,2,15815,4320,4000,4000,10000,true,ILS
15I2,3,31942,4318,3998,4000,10000,true,ILS
15I2,4,3227,4320,4000,4000,10000,true,ILS
15I2,5,30812,4299,3999,4000,10000,true,ILS
15I3,1,15290,4320,4000,4000,10000,true,ILS
15I3,2,365,4299,3999,4000,10000,true,ILS
15I3,3,1758,4302,3992,4000,10000,true,ILS
15I3,4,13323,4330,4000,4000,10000,true,ILS
15I3,5,21777,4310,4000,4000,10000,true,ILS
15I4,1,14664,4329,3999,4000,10000,true,ILS
15I4,2,17306,4328,3998,4000,10000,true,ILS
15I4,3,10715,4310,4000,4000,10000,true,ILS
15I4,4,3431,4308,3998,4000,10000,true,ILS
15I4,5,26917,4320,4000,4000,10000,true,ILS
15I5,1,9967,4332,3992,4000,10000,true,ILS
15I5,2,26571,4319,3999,4000,10000,true,ILS
15I5,3,4221,4318,3998,4000,10000,true,ILS
15I5,4,30157,4312,3992,4000,10000,true,ILS
15I5,5,24318,4324,3994,4000,10000,true,ILS
16I1,1,5010,4895,3995,4000,10000,true,ILS
16I1,2,32407,4886,3996,4000,10000,true,ILS
16I1,3,29176,4899,3999,4000,10000,true,ILS
16I1,4,1407,4890,4000,4000,10000,true,ILS
16I1,5,9103,4890,4000,4000,10000,true,ILS
16I2,1,16103,4869,3999,4000,10000,true,ILS
16I2,2,85,4859,3999,4000,10000,true,ILS
16I2,3,29664,4860,4000,4000,10000,true,ILS
16I2,4,14095,4880,4000,4000,10000,true,ILS
16I2,5,9938,4870,4000,4000,10000,true,ILS
16I3,1,14508,4870,4000,4000,10000,true,ILS
16I3,2,16655,4860,4000,4000,10000,true,ILS
16I3,3,28163,4869,3999,4000,10000,true,ILS
16I3,4,891,4870,4000,4000,10000,true,ILS
16I3,5,30965,4880,4000,4000,10000,true,ILS
16I4,1,10600,4900,4000,4000,10000,true,ILS
16I4,2,5784,4910,4000,4000,10000,true,ILS
16I4,3,22352,4907,3997,4000,10000,true,ILS
16I4,4,5761,4890,4000,4000,10000,true,ILS
16I4,5,18658,4890,4000,4000,10000,true,ILS
16I5,1,28904,4919,3999,4000,10000,true,ILS
16I5,2,6859,4900,4000,4000,10000,true,ILS
16I5,3,14195,4910,4000,4000,10000,true,ILS
16I5,4,24924,4900,4000,4000,10000,true,ILS
16I5,5,14758,4920,4000,4000,10000,true,ILS
17I1,1,31130,4600,4000,4000,10000,true,ILS
17I1,2,20718,4580,4000,4000,10000,true,ILS
17I1,3,15664,4597,3997,4000,10000,true,ILS
17I1,4,12136,4590,4000,4000,10000,true,ILS
17I1,5,1482,4600,4000,4000,10000,true,ILS
17I2,1,15544,4600,4000,4000,10000,true,ILS
17I2,2,4748,4600,4000,4000,10000,true,ILS
17I2,3,20641,4599,3999,4000,10000,true,ILS
17I2,4,3832,4598,3998,4000,10000,true,ILS
17I2,5,26842,4588,3998,4000,10000,true,ILS
17I3,1,24772,4594,3994,4000,10000,true,ILS
17I3,2,10094,4600,4000,4000,10003,true,ILS
17I3,3,30769,4605,3995,4000,10000,true,ILS
17I3,4,31415,4590,4000,4000,10001,true,ILS
17I3,5,876,4593,3993,4000,10025,true,ILS
17I4,1,10971,4589,3999,4000,10000,true,ILS
17I4,2,16328,4600,4000,4000,10000,true,ILS
17I4,3,23358,4630,4000,4000,10000,true,ILS
17I4,4,23594,4610,4000,4000,10000,true,ILS
17I4,5,24765,4600,4000,4000,10000,true,ILS
17I5,1,30971,4607,3997,4000,10000,true,ILS
17I5,2,15755,4620,4000,4000,10000,true,ILS
17I5,3,5422,4628,3998,4000,10000,true,ILS
17I5,4,17542,4619,3999,4000,10000,true,ILS
17I5,5,9077,4620,4000,4000,10000,true,ILS
18I1,1,26770,4459,3999,4000,10000,true,ILS
18I1,2,30521,4460,4000,4000,10000,true,ILS
18I1,3,24999,4461,3991,4000,10000,true,ILS
18I1,4,1489,4479,3999,4000,10000,true,ILS
18I1,5,10566,4490,4000,4000,10000,true,ILS
18I2,1,31496,4490,4000,4000,10000,true,ILS
18I2,2,31209,4480,4000,4000,10000,true,ILS
18I2,3,11157,4490,4000,4000,10000,true,ILS
18I2,4,5046,4486,3996,4000,10000,true,ILS
18I2,5,31293,4479,3999,4000,10000,true,ILS
18I3,1,25054,4486,3996,4000,10000,true,ILS
18I3,2,7566,4470,4000,4000,10000,true,ILS
18I3,3,32069,4459,3999,4000,10000,true,ILS
18I3,4,30922,4489,3999,4000,10000,true,ILS
