instance,run,seed,profit,weight,capacity,time_ms,valid,algorithm
20I4,4,12613,4285,3995,4000,163,true,VND
20I4,5,2311,4285,3995,4000,165,true,VND
20I5,1,22453,4248,3998,4000,78,true,VND
20I5,2,12465,4248,3998,4000,79,true,VND
20I5,3,7690,4248,3998,4000,79,true,VND
20I5,4,3108,4248,3998,4000,79,true,VND
20I5,5,32750,4248,3998,4000,78,true,VND
# --- Group 1 (1I1-10I5, 50 instances) ---
# group1_best_profit=2710
# group1_mean_profit=2222.74
# group1_median_profit=2504.00
# group1_stddev_profit=511.25
# group1_mean_time_ms=254.41
# --- Group 2 (11I1-20I5, 50 instances) ---
# group2_best_profit=4890
# group2_mean_profit=4469.88
# group2_median_profit=4397.00
# group2_stddev_profit=210.82
# group2_mean_time_ms=1407.59
# --- Overall ---
# overall_best_profit=4890
# overall_mean_profit=3346.31
# overall_median_profit=3471.50
# overall_stddev_profit=1190.61
# overall_mean_time_ms=831.00
# invalid_count=0
